업종명,업소명,소재지(도로명),소재지전화,업태명,문의전화
일반음식점,일호식당,충청북도 충주시 예성로 168 (성서동),043-842-4210,한식,043-850-3473
일반음식점,아지매사철탕,충청북도 충주시 중앙탑면 첨단산업로 1357,043-855-2844,한식,043-850-3473
일반음식점,노루목가든,충청북도 충주시 살미면 팔봉향산길 242,043-851-5007,한식,043-850-3473
일반음식점,새나라치킨수안보점,충청북도 충주시 수안보면 물탕2길 10,043-846-2003,호프/통닭,043-850-3473
일반음식점,수안보파크호텔탄금대,충청북도 충주시 수안보면 탑골1길 36,043-846-2331,한식,043-850-3473
일반음식점,부일식당,충청북도 충주시 주덕읍 신양1길 5-18,043-851-7067,한식,043-850-3473
일반음식점,주덕우리만두,"충청북도 충주시 주덕읍 신덕로 1392, 1층",043-856-4318,분식,043-850-3473
일반음식점,금룡,충청북도 충주시 사직로 139 (문화동),043-852-3282,중국식,043-850-3473
일반음식점,송림,충청북도 충주시 수안보면 미륵송계로 839-9,043-845-8890,한식,043-850-3473
일반음식점,조리터명가,충청북도 충주시 동량면 지등로 463,043-851-6523,횟집,043-850-3473
일반음식점,오시오식당,충청북도 충주시 수안보면 온천중앙길 17-1,043-846-4439,한식,043-850-3473
일반음식점,보가야참숯불갈비,"충청북도 충주시 수안보면 장터2길 17, 1층",043-846-4466,식육(숯불구이),043-850-3473
일반음식점,초가집식당,충청북도 충주시 수안보면 주정산로 27,043-846-3314,한식,043-850-3473
일반음식점,수안보파크호텔알프스,충청북도 충주시 수안보면 탑골1길 36,043-846-2331,한식,043-850-3473
일반음식점,올뱅이식당,충청북도 충주시 신대1길 1 (단월동),043-845-2155,한식,043-850-3473
일반음식점,참다래식당,충청북도 충주시 봉방10길 24 (봉방동),043-853-9388,한식,043-850-3473
일반음식점,신니종가집,충청북도 충주시 신니면 신덕로 781-6,043-856-8844,한식,043-850-3473
일반음식점,페리카나치킨,충청북도 충주시 주덕읍 신양로 109,043-845-6421,호프/통닭,043-850-3473
일반음식점,투가리식당,충청북도 충주시 수안보면 온천중앙길 15,043-846-0575,한식,043-850-3473
일반음식점,산적,충청북도 충주시 야현8길 19 (교현동),043-843-0424,한식,043-850-3473
일반음식점,가마솥순대국,충청북도 충주시 예성로 68 (지현동),043-847-8519,한식,043-850-3473
일반음식점,포탄횟집,충청북도 충주시 중앙로 125 (성내동),043-845-0100,횟집,043-850-3473
일반음식점,사과순대,충청북도 충주시 대소원면 대소원로 137,043-846-9463,한식,043-850-3473
일반음식점,한솔식당,충청북도 충주시 수안보면 장터3길 20,043-848-2035,한식,043-850-3473
일반음식점,전주식당,충청북도 충주시 수안보면 장터1길 29,043-846-8500,한식,043-850-3473
일반음식점,소라가든,충청북도 충주시 수안보면 노포란길 12,043-846-7819,한식,043-850-3473
일반음식점,대장군식당,충청북도 충주시 수안보면 미륵송계로 105,043-846-1757,한식,043-850-3473
일반음식점,만수휴게소,충청북도 충주시 수안보면 미륵송계로 979,043-845-2727,한식,043-850-3473
일반음식점,명횟집,충청북도 충주시 관아1길 34 (성내동),043-847-7351,횟집,043-850-3473
일반음식점,신토불이,충청북도 충주시 지현천변1길 45 (지현동),043-857-5252,한식,043-850-3473
일반음식점,미락삼겹살,충청북도 충주시 충인6길 25 (충인동),043-848-5565,한식,043-850-3473
일반음식점,옛날가마솥맛집,충청북도 충주시 주덕읍 신양로 82,043-846-4201,한식,043-850-3473
일반음식점,좋은친구연수1호점,충청북도 충주시 예성로 352 (연수동),043-848-2086,한식,043-850-3473
일반음식점,원조왕떡볶이충인점,충청북도 충주시 자유시장길 27-1 (충인동),043-844-7208,한식,043-850-3473
일반음식점,지영옥청국장,충청북도 충주시 상방9길 9 (봉방동),043-847-7683,한식,043-850-3473
일반음식점,미송호프,충청북도 충주시 용정2길 25-2 (성남동),043-847-6057,호프/통닭,043-850-3473
일반음식점,비어스토리,충청북도 충주시 연수상가3길 5 (연수동),043-852-7903,호프/통닭,043-850-3473
일반음식점,그랜드연회식당,충청북도 충주시 중원대로 3496 (봉방동),043-848-5554,한식,043-850-3473
일반음식점,민속순두부집,충청북도 충주시 중심1길 2 (문화동),043-843-1850,한식,043-850-3473
일반음식점,촌닭과낙지어장,충청북도 충주시 성서7길 7 (성서동),043-844-3519,한식,043-850-3473
일반음식점,다래관,충청북도 충주시 행정14길 20 (목행동),043-851-5527,중국식,043-850-3473
일반음식점,바로커통닭,충청북도 충주시 동량면 대미길 51-1,043-853-1870,호프/통닭,043-850-3473
일반음식점,천지인,충청북도 충주시 동량면 호반로 675,,한식,043-850-3473
일반음식점,중앙탑가든휴게소,충청북도 충주시 중앙탑면 첨단산업로 970,043-855-7601,한식,043-850-3473
일반음식점,갈마가든,충청북도 충주시 살미면 용천갈마길 45,043-851-8026,한식,043-850-3473
일반음식점,짱돌,충청북도 충주시 대소원면 대학로 25,043-854-7292,한식,043-850-3473
일반음식점,향나무식당,충청북도 충주시 수안보면 장터1길 11,043-846-2813,한식,043-850-3473
일반음식점,감나무집,충청북도 충주시 수안보면 미륵송계로 339-1,043-846-0608,한식,043-850-3473
일반음식점,오삼불고기,충청북도 충주시 연수상가1길 8 (연수동),0438-5553-92,한식,043-850-3473
일반음식점,행운정갈비,충청북도 충주시 대현4길 33 (교현동),043-846-3344,한식,043-850-3473
일반음식점,이집이좋겠네,충청북도 충주시 관아2길 14 (성내동),043-846-4828,한식,043-850-3473
일반음식점,대광식당,"충청북도 충주시 관아1길 12, 1층 (성내동)",043-847-3643,한식,043-850-3473
일반음식점,산정가든,충청북도 충주시 중앙탑면 첨단산업로 953-3,043-855-9449,한식,043-850-3473
일반음식점,글로리아식당,충청북도 충주시 수안보면 온천중앙길 23,043-846-3674,한식,043-850-3473
일반음식점,양지말가든,충청북도 충주시 수안보면 탑골1길 3,043-848-2430,한식,043-850-3473
일반음식점,북어마당,충청북도 충주시 번영대로 15 (금릉동),043-851-0080,한식,043-850-3473
일반음식점,롯데리아충주점,충청북도 충주시 예성로 151 (성서동),043-844-9165,패스트푸드,043-850-3473
일반음식점,고쟁이,"충청북도 충주시 용정2길 4, 1층 (성남동)",043-851-8955,한식,043-850-3473
일반음식점,돈세상,충청북도 충주시 용산천변길 56 (용산동),043-848-4799,한식,043-850-3473
일반음식점,페리카나치킨연수점,충청북도 충주시 연원로 28 (연수동),043-848-3667,호프/통닭,043-850-3473
일반음식점,소망마감자탕,충청북도 충주시 봉방4길 5 (봉방동),043-842-5798,한식,043-850-3473
일반음식점,시골추어탕,충청북도 충주시 상방1길 34 (봉방동),043-847-0516,한식,043-850-3473
일반음식점,최가네칼국수,충청북도 충주시 야현1길 40 (교현동),043-857-3948,한식,043-850-3473
일반음식점,솥뚜껑,충청북도 충주시 성서7길 6-1 (성서동),043-852-4420,한식,043-850-3473
일반음식점,싸리골식당,충청북도 충주시 금가면 청명길 7-4,043-853-8913,한식,043-850-3473
일반음식점,내사휴게소식당,충청북도 충주시 살미면 월악로 433,043-851-2600,한식,043-850-3473
일반음식점,시바스호프,<REPLACE>,043-852-6002,호프/통닭,043-850-3473
일반음식점,온천부부식당,충청북도 충주시 수안보면 수안보온천길 74,043-846-0087,한식,043-850-3473
일반음식점,월악가든,충청북도 충주시 수안보면 미륵리사지길 48,043-846-0310,한식,043-850-3473
일반음식점,현대식당,충청북도 충주시 수안보면 주정산로 47,043-846-3363,한식,043-850-3473
일반음식점,옥반점,충청북도 충주시 주공길 10 (연수동),043-854-2662,중국식,043-850-3473
일반음식점,그랜드휴게실,충청북도 충주시 중원대로 3496 (봉방동),043-848-5554,한식,043-850-3473
일반음식점,술뻑세,충청북도 충주시 성서2길 8 (성서동),043-847-7058,호프/통닭,043-850-3473
일반음식점,자린고비식당,충청북도 충주시 상방7길 42 (봉방동),043-852-8587,한식,043-850-3473
일반음식점,합격반점,충청북도 충주시 하풍2길 52 (풍동),043-851-9421,중국식,043-850-3473
일반음식점,정운식당,충청북도 충주시 천변로 201 (교현동),043-843-3637,한식,043-850-3473
일반음식점,투캅스,충청북도 충주시 신니면 용원1길 16-1,043-852-8759,호프/통닭,043-850-3473
일반음식점,초원분식,충청북도 충주시 주덕읍 주덕1길 3,043-848-1062,분식,043-850-3473
일반음식점,다릿골농장식당,충청북도 충주시 수안보면 다릿골길 31,043-846-4646,한식,043-850-3473
일반음식점,원조감자국,충청북도 충주시 수안보면 장터1길 15,043-845-4540,한식,043-850-3473
일반음식점,장충동왕족발보쌈연수동,충청북도 충주시 연수상가길 40 (연수동),043-856-3900,한식,043-850-3473
일반음식점,김밥천국,충청북도 충주시 연수상가길 42 (연수동),043-842-6260,분식,043-850-3473
일반음식점,봉평묵집,충청북도 충주시 예성로 168 (성서동),043-843-9891,한식,043-850-3473
일반음식점,싱싱세꼬시횟집,충청북도 충주시 동수5길 25-3 (연수동),043-842-7111,횟집,043-850-3473
일반음식점,솔지식당,충청북도 충주시 동수5길 15-1 (연수동),043-852-1598,한식,043-850-3473
일반음식점,대흥반점,충청북도 충주시 탄금대로 20 (문화동),043-844-8186,중국식,043-850-3473
일반음식점,일번지순대국,충청북도 충주시 연수상가2길 9 (연수동),043-852-4334,한식,043-850-3473
일반음식점,한샘식당,충청북도 충주시 충열1길 20-4 (단월동),043-852-7579,한식,043-850-3473
일반음식점,희망야식,충청북도 충주시 봉방4길 12-1 (봉방동),043-844-4550,한식,043-850-3473
일반음식점,울대마을,충청북도 충주시 금제2길 11 (금릉동),043-846-8977,한식,043-850-3473
일반음식점,탄금한우,충청북도 충주시 천변로 163 (교현동),043-855-3300,한식,043-850-3473
일반음식점,호수마을갈비,충청북도 충주시 호암대로 5 (호암동),043-842-7237,한식,043-850-3473
일반음식점,영광맛집,충청북도 충주시 무학천변길 68-1 (봉방동),043-847-9856,한식,043-850-3473
일반음식점,최가네,충청북도 충주시 금제7길 2 (금릉동),,한식,043-850-3473
일반음식점,흥부와놀부네,충청북도 충주시 봉방9길 32 (봉방동),043-842-7717,한식,043-850-3473
일반음식점,은혜불고기,충청북도 충주시 사직산22길 14-5 (지현동),043-844-4840,식육(숯불구이),043-850-3473
일반음식점,부영각,충청북도 충주시 금제6길 6 (금릉동),043-846-3435,중국식,043-850-3473
일반음식점,치킨나라엄정점,충청북도 충주시 엄정면 미내장터길 10-2,043-851-3455,호프/통닭,043-850-3473
일반음식점,태정식당,충청북도 충주시 주덕읍 신덕로 1372-1,043-852-7101,한식,043-850-3473
일반음식점,삿갓촌식당,충청북도 충주시 수안보면 장터3길 22,043-846-2529,한식,043-850-3473
일반음식점,큰곰식당,충청북도 충주시 수안보면 장터3길 18-2,043-848-1749,한식,043-850-3473
일반음식점,송계식당,충청북도 충주시 수안보면 온천중앙길 17,043-846-2345,한식,043-850-3473
일반음식점,수가성식당,충청북도 충주시 으뜸로 7 (금릉동),043-855-5882,한식,043-850-3473
일반음식점,가문,충청북도 충주시 금릉로 69-1 (칠금동),043-857-7008,중국식,043-850-3473
일반음식점,산성막국수,충청북도 충주시 안림로 122 (안림동),043-853-6800,한식,043-850-3473
일반음식점,서광분식,충청북도 충주시 연원9길 22 (연수동),043-846-3625,분식,043-850-3473
일반음식점,충주의료원영안실식당,충청북도 충주시 안림로 239-50 (안림동),043-871-0114,한식,043-850-3473
일반음식점,동키호프소주방,"충청북도 충주시 금곡로 49-3, 101호 (연수동)",043-845-9595,호프/통닭,043-850-3473
일반음식점,대진식당,충청북도 충주시 상방7길 42 (봉방동),043-844-8711,한식,043-850-3473
일반음식점,커피향이그리우면,충청북도 충주시 칠금10길 8 (칠금동),043-842-8521,기타,043-850-3473
일반음식점,은주횟집,충청북도 충주시 목벌길 508 (목벌동),043-842-3278,횟집,043-850-3473
일반음식점,이서방양념치킨목행점,충청북도 충주시 행정10길 28 (목행동),043-853-9080,호프/통닭,043-850-3473
일반음식점,세신구이전문,충청북도 충주시 거룡1길 25 (용산동),043-843-0376,한식,043-850-3473
일반음식점,멧돌손두부,충청북도 충주시 금제8길 17 (금릉동),043-852-3393,한식,043-850-3473
일반음식점,가마소,충청북도 충주시 연못2길 5 (문화동),043-854-2550,한식,043-850-3473
일반음식점,봉우맛집,충청북도 충주시 봉현로 80 (봉방동),043-844-0354,한식,043-850-3473
일반음식점,영덕대게전문점,충청북도 충주시 청운로 80 (문화동),043-848-1339,한식,043-850-3473
일반음식점,보성녹돈,충청북도 충주시 상방7길 3 (봉방동),043-845-8855,한식,043-850-3473
일반음식점,바른생활샌드위치,충청북도 충주시 충열5길 9 (단월동),043-851-5450,분식,043-850-3473
일반음식점,청마루,충청북도 충주시 탄금대로 209 (칠금동),043-843-2777,중국식,043-850-3473
일반음식점,대영분식,충청북도 충주시 응골2길 23 (연수동),043-854-2396,분식,043-850-3473
일반음식점,장수밥상,충청북도 충주시 산척면 충원대로 1677,043-854-1331,한식,043-850-3473
일반음식점,탄금대,충청북도 충주시 수안보면 수안보로 321-36,043-846-8211,한식,043-850-3473
일반음식점,일흥식당,충청북도 충주시 산척면 삼여울길 3,043-843-6750,한식,043-850-3473
일반음식점,저수지횟집,충청북도 충주시 신니면 신덕로 523,043-852-0068,횟집,043-850-3473
일반음식점,숲속가든,충청북도 충주시 신니면 신덕로 527,043-852-0047,한식,043-850-3473
일반음식점,삼탄약수가든,충청북도 충주시 산척면 삼여울길 24,043-852-6936,한식,043-850-3473
일반음식점,원조상록식당,충청북도 충주시 수안보면 장터3길 15,043-846-9625,한식,043-850-3473
일반음식점,하천가든,충청북도 충주시 동량면 하천2길 9,043-851-4228,한식,043-850-3473
일반음식점,푸른숲가든,충청북도 충주시 동량면 지등로 523,043-851-4258,횟집,043-850-3473
일반음식점,신니마당가든,충청북도 충주시 신니면 신덕로 179,043-857-3392,한식,043-850-3473
일반음식점,주덕대반점,충청북도 충주시 주덕읍 쌀전길 14,043-851-1119,중국식,043-850-3473
일반음식점,명산가든2호점,충청북도 충주시 살미면 중원대로 2577-10,043-848-3132,한식,043-850-3473
일반음식점,아톰프라자,충청북도 충주시 금곡로 49-5 (연수동),043-844-4784,한식,043-850-3473
일반음식점,토닭토닭목행점,"충청북도 충주시 목행산단3로 13-7, 상가동 102호 (목행동)",043-853-6838,통닭(치킨),043-850-3473
일반음식점,조선가든,충청북도 충주시 수안보면 조산공원길 96,043-846-3777,한식,043-850-3473
일반음식점,공원밥집,"충청북도 충주시 금곡로 31-1, 가동 101,106호 (연수동)",043-848-6153,한식,043-850-3473
일반음식점,원조쌈밥,충청북도 충주시 칠금15길 11 (칠금동),043-845-8478,한식,043-850-3473
일반음식점,깐치호,"충청북도 충주시 대소원면 대학로 12, 102호",043-853-2850,호프/통닭,043-850-3473
일반음식점,토프랜드칠금점,"충청북도 충주시 금릉로 13, 106동 108호 (칠금동, 삼일무지개아파트)",043-843-2590,패스트푸드,043-850-3473
일반음식점,샘터포장마차,충청북도 충주시 용정4길 18 (용산동),043-843-3091,한식,043-850-3473
일반음식점,해성구이,충청북도 충주시 야현2길 2 (교현동),043-854-9906,한식,043-850-3473
일반음식점,화랑가든,충청북도 충주시 금가면 옥강정길 7-1,043-854-7889,한식,043-850-3473
일반음식점,상주칼국수,충청북도 충주시 예성7길 7 (교현동),043-856-7300,한식,043-850-3473
일반음식점,행복한우동가게,충청북도 충주시 연수상가4길 10 (연수동),043-854-1052,한식,043-850-3473
일반음식점,집두부식당,충청북도 충주시 수안보면 장터1길 18,043-848-0318,한식,043-850-3473
일반음식점,가마솥보리밥,충청북도 충주시 칠금9길 6 (칠금동),043-854-4622,한식,043-850-3473
일반음식점,옥이식당,충청북도 충주시 용정4길 10 (용산동),043-848-5109,한식,043-850-3473
일반음식점,동해해물탕,충청북도 충주시 연수상가길 7 (연수동),043-844-2155,한식,043-850-3473
일반음식점,대전얼큰한칼국수,충청북도 충주시 연원10길 3 (연수동),043-842-1435,분식,043-850-3473
일반음식점,친구분식,충청북도 충주시 연원5길 37 (연수동),043-847-9877,분식,043-850-3473
일반음식점,충주검찰청내구내식당,<REPLACE>,043-854-5191,한식,043-850-3473
일반음식점,신덕성식당,"충청북도 충주시 무학2길 6, 1층 (봉방동)",043-848-0532,한식,043-850-3473
일반음식점,유진가든,충청북도 충주시 금가면 양평길 6,043-853-8100,한식,043-850-3473
일반음식점,원조마포소금구이,충청북도 충주시 번영대로 158 (연수동),043-854-6120,식육(숯불구이),043-850-3473
일반음식점,비비큐치킨목행점,충청북도 충주시 행정11길 40 (목행동),043-853-0123,호프/통닭,043-850-3473
일반음식점,강쇠가든,충청북도 충주시 산척면 충원대로 1656,043-853-6889,한식,043-850-3473
일반음식점,중원남한강식당,충청북도 충주시 소태면 덕은로 865,043-855-4817,한식,043-850-3473
일반음식점,오륙도식육식당,"충청북도 충주시 사직로 113, 1층 (문화동)",043-857-2943,식육(숯불구이),043-850-3473
일반음식점,사랑해 사랑해 성남점,충청북도 충주시 용정2길 39-1 (성남동),043-853-1727,호프/통닭,043-850-3473
일반음식점,풍경이아름다운집,충청북도 충주시 동량면 지등로 268,043-851-4021,한식,043-850-3473
일반음식점,꽃봉재가든,충청북도 충주시 동량면 호반로 353,043-856-5306,한식,043-850-3473
일반음식점,용포자매식당,충청북도 충주시 앙성면 하너미로 776-2,043-855-4395,한식,043-850-3473
일반음식점,토종마을,충청북도 충주시 행정11길 33 (목행동),043-854-8541,한식,043-850-3473
일반음식점,금능보리밥토끼탕전문,충청북도 충주시 금제9길 40 (금릉동),043-842-4311,한식,043-850-3473
일반음식점,부영탄금성,"충청북도 충주시 금릉로 46 (칠금동, 부영아파트 상가 201호)",043-842-1996,한식,043-850-3473
일반음식점,삼일정동진,"충청북도 충주시 금릉로 17, 106동 105호 (칠금동, 삼일아파트상가)",043-843-5111,호프/통닭,043-850-3473
일반음식점,나루터가든,충청북도 충주시 중앙탑면 중앙탑길 6,043-851-5800,한식,043-850-3473
일반음식점,영주식당,충청북도 충주시 대소원면 산정독정길 187,043-853-3859,한식,043-850-3473
일반음식점,충주해장국,충청북도 충주시 금릉로 73 (연수동),043-844-4486,한식,043-850-3473
일반음식점,남촌,충청북도 충주시 연수상가길 30 (연수동),043-857-5454,한식,043-850-3473
일반음식점,엄정임경옥족발,충청북도 충주시 엄정면 내창로 165,043-847-3700,한식,043-850-3473
일반음식점,정통옛날손칼국수,충청북도 충주시 칠금14길 3 (칠금동),043-848-0223,한식,043-850-3473
일반음식점,리버하우스,충청북도 충주시 동량면 지등로 501,043-851-3139,횟집,043-850-3473
일반음식점,황토오리진흙구이,충청북도 충주시 동량면 대미길 42,043-854-6896,한식,043-850-3473
일반음식점,더클라우드,충청북도 충주시 앙성면 산전장수1길 103,043-857-0055,뷔페식,043-850-3473
일반음식점,충주아바이순대,충청북도 충주시 삼원로 31 (봉방동),043-852-5913,한식,043-850-3473
일반음식점,아리산,충청북도 충주시 예성로 7 (호암동),043-843-0192,중국식,043-850-3473
일반음식점,형지식당,충청북도 충주시 충인4길 14 (충인동),043-852-5557,한식,043-850-3473
일반음식점,양푼갈비,충청북도 충주시 충열1길 16 (단월동),043-845-0603,한식,043-850-3473
일반음식점,원조신라집,충청북도 충주시 거룡8길 35 (용산동),043-847-3061,한식,043-850-3473
일반음식점,가마솥토종닭집,충청북도 충주시 수안보면 새재로 1752,043-848-4234,한식,043-850-3473
일반음식점,옛가마솥보리밥부페,충청북도 충주시 칠금중앙1길 21 (칠금동),043-852-1614,한식,043-850-3473
일반음식점,주덕양어장식당,충청북도 충주시 주덕읍 화곡1길 202,043-846-6234,한식,043-850-3473
일반음식점,보배숯불구이,충청북도 충주시 호암중앙1로 40 (호암동),043-842-4283,한식,043-850-3473
일반음식점,해물손칼국수,충청북도 충주시 대소원면 대소원1길 44,043-848-1386,한식,043-850-3473
일반음식점,스모프양념통닭봉방점,충청북도 충주시 봉계3길 5 (봉방동),043-854-5517,통닭(치킨),043-850-3473
일반음식점,장충동왕족,충청북도 충주시 성서2길 14 (성서동),043-852-9939,한식,043-850-3473
일반음식점,산장식당,충청북도 충주시 주덕읍 충청대로 2220-27,043-846-6514,한식,043-850-3473
일반음식점,오뚜기부대찌개,충청북도 충주시 충열1길 16 (단월동),043-855-8858,한식,043-850-3473
일반음식점,동량병천순대,충청북도 충주시 동량면 호반로 21,043-852-6538,한식,043-850-3473
일반음식점,술먹는하마,충청북도 충주시 사직산8길 53 (문화동),043-851-9510,호프/통닭,043-850-3473
일반음식점,돈까스전문점,충청북도 충주시 금제8길 5 (금릉동),043-845-0011,경양식,043-850-3473
일반음식점,풍년칼국수집,충청북도 충주시 갱고개로 35 (교현동),043-843-2613,한식,043-850-3473
일반음식점,남한강파크,충청북도 충주시 소태면 구룡로 562-2,043-855-8905,한식,043-850-3473
일반음식점,호천식당,충청북도 충주시 노은면 연하중앙길 25,043-853-4660,한식,043-850-3473
일반음식점,황혼에서새벽까지,충청북도 충주시 사직산21길 17 (문화동),043-854-0596,한식,043-850-3473
일반음식점,투다리건대점,충청북도 충주시 충열1길 20-7 (단월동),043-851-2179,호프/통닭,043-850-3473
일반음식점,한우일번가시식점,충청북도 충주시 금곡로 39 (연수동),043-843-6523,한식,043-850-3473
일반음식점,소문난식당,충청북도 충주시 수안보면 온천천변길 21,043-846-3466,한식,043-850-3473
일반음식점,성진복식당,충청북도 충주시 금제1길 25 (금릉동),043-843-9179,한식,043-850-3473
일반음식점,묵고을,충청북도 충주시 중원대로 3845 (용두동),043-853-9892,한식,043-850-3473
일반음식점,충주소머리곰탕,충청북도 충주시 충인6길 29 (충인동),043-857-6511,한식,043-850-3473
일반음식점,흥부해장국,충청북도 충주시 대흥길 10-6 (교현동),043-843-3838,한식,043-850-3473
일반음식점,훌랄라참숯바베큐치킨연수점,충청북도 충주시 연수서편1길 43 (연수동),043-842-9266,호프/통닭,043-850-3473
일반음식점,해뜨네짜글이,충청북도 충주시 사직로 188 (성남동),043-842-5340,한식,043-850-3473
일반음식점,앙성만리장성,충청북도 충주시 앙성면 앙암로 6-1,043-855-0244,중국식,043-850-3473
일반음식점,청송식당,충청북도 충주시 무학4길 7 (봉방동),043-842-0144,한식,043-850-3473
일반음식점,만나분식,충청북도 충주시 예성로 40 (지현동),043-842-5132,분식,043-850-3473
일반음식점,충주제일횟집,충청북도 충주시 중심1길 8 (문화동),043-845-2080,횟집,043-850-3473
일반음식점,간이역두진역점,충청북도 충주시 연수로 6-8 (금릉동),043-856-9282,호프/통닭,043-850-3473
일반음식점,봉춘,충청북도 충주시 살미면 월악로 71,043-852-1222,한식,043-850-3473
일반음식점,오복이네,"충청북도 충주시 교동12길 23, 가동 (교현동)",043-855-8844,한식,043-850-3473
일반음식점,춘천일촌닭갈비,충청북도 충주시 칠금중앙2길 21 (칠금동),043-847-7447,한식,043-850-3473
일반음식점,돌담마을,충청북도 충주시 연원10길 6 (연수동),043-844-0087,한식,043-850-3473
일반음식점,시장치킨호프,충청북도 충주시 주덕읍 신덕로 1392,043-856-6337,호프/통닭,043-850-3473
일반음식점,돈가마니막창,충청북도 충주시 사직산6길 1 (문화동),043-844-7974,호프/통닭,043-850-3473
일반음식점,수하식당,충청북도 충주시 주덕읍 신양로 84,043-847-1671,한식,043-850-3473
일반음식점,청주왕족보쌈,"충청북도 충주시 금곡로 31, B동 101호 (연수동)",043-854-8900,한식,043-850-3473
일반음식점,옛한옥집,충청북도 충주시 중앙로 101-6 (성내동),043-845-0944,한식,043-850-3473
일반음식점,드림,충청북도 충주시 연수상가2길 20 (연수동),043-851-9994,호프/통닭,043-850-3473
일반음식점,다원,충청북도 충주시 예성로 372 (연수동),043-848-9797,한식,043-850-3473
일반음식점,언덕넘어,충청북도 충주시 수안보면 미륵송계로 9,043-845-7791,한식,043-850-3473
일반음식점,대구전봇대막창,충청북도 충주시 금제7길 5 (금릉동),043-843-9233,식육(숯불구이),043-850-3473
일반음식점,장뻥네탕,충청북도 충주시 충인6길 31-1 (충인동),043-852-0878,한식,043-850-3473
일반음식점,엄마밥상,충청북도 충주시 충열5길 25 (단월동),043-853-4412,한식,043-850-3473
일반음식점,전통토속식당,충청북도 충주시 수안보면 물탕2길 3,043-846-3589,한식,043-850-3473
일반음식점,한성모듬숯불구이타운,충청북도 충주시 칠금중앙4길 7 (칠금동),043-847-2116,한식,043-850-3473
일반음식점,윤박사탕수육,충청북도 충주시 대소원면 대학로 12,043-853-1109,한식,043-850-3473
일반음식점,쉼터가든,충청북도 충주시 수안보면 조산공원길 104,043-845-8880,한식,043-850-3473
일반음식점,아로하치킨,충청북도 충주시 금제1길 10 (금릉동),043-856-9290,호프/통닭,043-850-3473
일반음식점,오복쌈밥,충청북도 충주시 사직로 191-3 (성서동),043-842-9710,한식,043-850-3473
일반음식점,삼순이네,충청북도 충주시 예성로 87 (지현동),,분식,043-850-3473
일반음식점,민지집두부식당,충청북도 충주시 충인2길 28 (충인동),043-847-5082,한식,043-850-3473
일반음식점,앵커,충청북도 충주시 행정8길 29-1 (목행동),043-854-1457,호프/통닭,043-850-3473
일반음식점,눈치코치,충청북도 충주시 용정5길 2 (용산동),043-845-1272,분식,043-850-3473
일반음식점,유가네칼국수,충청북도 충주시 번영대로 28 (칠금동),043-845-8700,한식,043-850-3473
일반음식점,먹거리장터충인점,충청북도 충주시 충인6길 31 (충인동),043-844-8894,한식,043-850-3473
